"time","symbol","open","high","low","close","volume"
"2011-03-11 00:00:00+00","ZS.c.0","1347.25","1347.25","1310","1325.5",476
"2011-03-13 00:00:00+00","ZS.c.0","1329.25","1329.25","1319.5","1319.5",25
"2011-03-14 00:00:00+00","ZS.c.0","1321","1332.5","1311.5","1329.25",288
"2011-03-15 00:00:00+00","ZS.c.0","1341.25","1343.5","1270","1282.25",149965
"2011-03-16 00:00:00+00","ZS.c.0","1282","1308","1277","1293.5",101151
"2011-03-17 00:00:00+00","ZS.c.0","1293.25","1346.75","1290.25","1338.75",96977
"2011-03-18 00:00:00+00","ZS.c.0","1338.25","1385.75","1322.75","1362.5",112297
"2011-03-20 00:00:00+00","ZS.c.0","1369.25","1376.75","1364.75","1371",2503
"2011-03-21 00:00:00+00","ZS.c.0","1371.5","1373.5","1351.5","1359.25",78076
"2011-03-22 00:00:00+00","ZS.c.0","1359","1369","1344","1363.5",55973
"2011-03-23 00:00:00+00","ZS.c.0","1363.25","1372","1348.75","1350.25",54719
"2011-03-24 00:00:00+00","ZS.c.0","1350","1361.5","1338","1358.75",81158
"2011-03-25 00:00:00+00","ZS.c.0","1359","1367.75","1353.25","1359.25",62624
"2011-03-27 00:00:00+00","ZS.c.0","1360","1362","1356.75","1359.5",839
"2011-03-28 00:00:00+00","ZS.c.0","1359.25","1369","1341","1343",55038
"2011-03-29 00:00:00+00","ZS.c.0","1343.25","1369","1342","1364.25",72886
"2011-03-30 00:00:00+00","ZS.c.0","1364.25","1374.25","1355.75","1374.25",68330
"2011-03-31 00:00:00+00","ZS.c.0","1374.25","1432","1368.5","1416.5",95306
"2011-04-01 00:00:00+00","ZS.c.0","1416.25","1416.25","1386.25","1395.25",99538
"2011-04-03 00:00:00+00","ZS.c.0","1393.5","1402.75","1391.5","1399.25",4550
"2011-04-04 00:00:00+00","ZS.c.0","1399","1402.75","1379","1385.5",78001
"2011-04-05 00:00:00+00","ZS.c.0","1385.25","1389.75","1366.5","1375.5",73358
"2011-04-06 00:00:00+00","ZS.c.0","1376","1388.25","1372.25","1377.25",78785
"2011-04-07 00:00:00+00","ZS.c.0","1377.5","1383.25","1360.5","1365.25",80892
"2011-04-08 00:00:00+00","ZS.c.0","1365.25","1394","1363.5","1391.75",95651
"2011-04-10 00:00:00+00","ZS.c.0","1395.5","1406.5","1395.5","1405.5",3719
"2011-04-11 00:00:00+00","ZS.c.0","1405.25","1406.25","1360","1362.5",96992
"2011-04-12 00:00:00+00","ZS.c.0","1362.75","1370.25","1318.25","1330.5",120973
"2011-04-13 00:00:00+00","ZS.c.0","1330.5","1349","1329.25","1333",80717
"2011-04-14 00:00:00+00","ZS.c.0","1333","1337.75","1316.5","1334.25",70397
"2011-04-15 00:00:00+00","ZS.c.0","1334.25","1338.5","1322.25","1331.5",62792
"2011-04-17 00:00:00+00","ZS.c.0","1331.75","1333.75","1326.5","1328",2298
"2011-04-18 00:00:00+00","ZS.c.0","1328","1350.5","1320.75","1346",69004
"2011-04-19 00:00:00+00","ZS.c.0","1346","1349","1336.5","1343",63196
"2011-04-20 00:00:00+00","ZS.c.0","1343","1373.25","1342.75","1361",62433
"2011-04-21 00:00:00+00","ZS.c.0","1360.75","1382","1351.75","1380.25",54983
"2011-04-24 00:00:00+00","ZS.c.0","1380.75","1387.75","1379","1386.5",2429
"2011-04-25 00:00:00+00","ZS.c.0","1386.5","1391.25","1372.25","1390",49220
"2011-04-26 00:00:00+00","ZS.c.0","1389","1389.25","1371.75","1383.25",47126
"2011-04-27 00:00:00+00","ZS.c.0","1383.5","1390.25","1361.5","1382.75",38722
"2011-04-28 00:00:00+00","ZS.c.0","1381.75","1393.5","1334.25","1344.25",37819
"2011-04-29 00:00:00+00","ZS.c.0","1345","1393.75","1345","1393.75",15969
"2011-05-01 00:00:00+00","ZS.c.0","1389.5","1392.5","1382","1385.5",574
"2011-05-02 00:00:00+00","ZS.c.0","1386","1400","1380.5","1390.5",3927
"2011-05-03 00:00:00+00","ZS.c.0","1385.25","1385.25","1352","1358.5",3978
"2011-05-04 00:00:00+00","ZS.c.0","1362.25","1363","1344","1351.25",1873
"2011-05-05 00:00:00+00","ZS.c.0","1352","1355.25","1308.5","1319.25",1584
"2011-05-06 00:00:00+00","ZS.c.0","1323.25","1339.25","1308.5","1327.75",1654
"2011-05-09 00:00:00+00","ZS.c.0","1330","1339.25","1329.5","1335.75",882
"2011-05-10 00:00:00+00","ZS.c.0","1339.75","1352.75","1339","1340",534
"2011-05-11 00:00:00+00","ZS.c.0","1343.75","1343.75","1319","1329.5",444
"2011-05-12 00:00:00+00","ZS.c.0","1337.5","1352.25","1318.5","1345.5",356
"2011-05-13 00:00:00+00","ZS.c.0","1351.5","1352","1326.5","1335",245
"2011-05-15 00:00:00+00","ZS.c.0","1330","1337.5","1329","1336",1821
"2011-05-16 00:00:00+00","ZS.c.0","1335.25","1344","1320.5","1323",59475
"2011-05-17 00:00:00+00","ZS.c.0","1323","1345","1312","1343",92755
"2011-05-18 00:00:00+00","ZS.c.0","1343.5","1387.5","1342.25","1375.75",105522
"2011-05-19 00:00:00+00","ZS.c.0","1375.75","1389","1369.25","1378.75",67706
